n_col_extra,iteration,model,percision,recall
1,3,svm-sigmoid,0.5021598272138229,0.5022
1,3,svm-rbf-approx,0.5492267549163113,0.3452
1,3,LOF-minkowski,0.9944244446395645,0.90604
1,3,LOF-euclidean,0.9944244446395645,0.90604
1,3,LOF-cosine,0.9841212558643089,0.98172
1,4,svm-linear,0.6074879825561227,0.98068
1,4,svm-poly,0.4357927058891689,0.60176
1,4,svm-rbf,0.6661068905771025,0.99956
1,4,svm-sigmoid,0.5004602024890952,0.50024
1,4,svm-rbf-approx,0.5063266648608907,0.5234
1,4,LOF-minkowski,0.9934438873891246,0.92736
1,4,LOF-euclidean,0.9934438873891246,0.92736
1,4,LOF-cosine,0.9816334661354582,0.98556
1,5,svm-linear,0.467868631704945,0.50032
1,5,svm-poly,0.46737909051299104,0.81524
1,5,svm-rbf,0.6678158154948021,0.99956
1,5,svm-sigmoid,0.5053075995174909,0.50268
1,5,svm-rbf-approx,0.49310056449926826,0.37736
1,5,LOF-minkowski,0.9945839487936977,0.8888
1,5,LOF-euclidean,0.9945839487936977,0.8888
1,5,LOF-cosine,0.9842586255485325,0.97792
1,6,svm-linear,0.5168978465782819,0.5396
1,6,svm-poly,0.4477929616640464,0.74056
1,6,svm-rbf,0.6634281011918983,0.99968
1,6,svm-sigmoid,0.5026013741610071,0.5062
1,6,svm-rbf-approx,0.5907368659164169,0.41784
1,6,LOF-minkowski,0.9925705133908711,0.89244
1,6,LOF-euclidean,0.9925705133908711,0.89244
1,6,LOF-cosine,0.9843251323071951,0.9746
1,7,svm-linear,0.1699817948890837,0.10084
1,7,svm-poly,0.39688785094176776,0.6254
1,7,svm-rbf,0.6651497005988024,0.99972
1,7,svm-sigmoid,0.5009852414846986,0.49832
1,7,svm-rbf-approx,0.5327915760558544,0.7448
1,7,LOF-minkowski,0.9926352028587615,0.91112
1,7,LOF-euclidean,0.9926352028587615,0.91112
1,7,LOF-cosine,0.9827351930301335,0.9836
1,8,svm-linear,0.4351617963785264,0.65464
1,8,svm-poly,0.37797287380065775,0.55624
1,8,svm-rbf,0.6641247741524072,0.9998
1,8,svm-sigmoid,0.5012017304919083,0.50048
1,8,svm-rbf-approx,0.5008198737394441,0.48868
1,8,LOF-minkowski,0.9938106316667398,0.9056
1,8,LOF-euclidean,0.9938106316667398,0.9056
1,8,LOF-cosine,0.984739604360113,0.97568
1,9,svm-linear,0.4786856127886323,0.81928
1,9,svm-poly,0.45073828024132023,0.76804
1,9,svm-rbf,0.6704222329524117,0.99968
1,9,svm-sigmoid,0.5005192107995846,0.50128
1,9,svm-rbf-approx,0.6087654320987654,0.78896
1,9,LOF-minkowski,0.9942839280132184,0.8906
1,9,LOF-euclidean,0.9942839280132184,0.8906
1,9,LOF-cosine,0.984693059785222,0.98296
2,0,svm-linear,0.6324205578829059,0.49516
2,0,svm-poly,0.4171135836068198,0.62532
2,0,svm-rbf,0.667156443684548,0.99892
2,0,svm-sigmoid,0.5016346949225982,0.5094
2,0,svm-rbf-approx,0.4976144698426262,0.55904
2,0,LOF-minkowski,0.9926743199178094,0.88892
2,0,LOF-euclidean,0.9926743199178094,0.88892
2,0,LOF-cosine,0.9672066995382328,0.98864
2,1,svm-linear,0.5437088712287389,0.6048
2,1,svm-poly,0.4083309476095047,0.57052
2,1,svm-rbf,0.6639721328476081,0.9988
2,1,svm-sigmoid,0.49872611464968153,0.50112
2,1,svm-rbf-approx,0.47560429722470904,0.51
2,1,LOF-minkowski,0.9919234483364059,0.90392
2,1,LOF-euclidean,0.9919234483364059,0.90392
2,1,LOF-cosine,0.9658333008307657,0.99052
2,2,svm-linear,0.5776782224360324,0.76852
2,2,svm-poly,0.4511937350566548,0.52084
2,2,svm-rbf,0.662291169451074,0.999
2,2,svm-sigmoid,0.4973863456359892,0.5024
2,2,svm-rbf-approx,0.5166308334387252,0.4902
2,2,LOF-minkowski,0.9927773540890943,0.8852
2,2,LOF-euclidean,0.9927773540890943,0.8852
2,2,LOF-cosine,0.9639173251333152,0.99056
2,3,svm-linear,0.5513260530421217,0.7068
2,3,svm-poly,0.43976522377109317,0.71928
2,3,svm-rbf,0.6676114334607878,0.99872
2,3,svm-sigmoid,0.5024987006756486,0.50276
2,3,svm-rbf-approx,0.5016288160833954,0.43116
2,3,LOF-minkowski,0.9924892206407344,0.85628
2,3,LOF-euclidean,0.9924892206407344,0.85628
2,3,LOF-cosine,0.965231334819508,0.9872
2,4,svm-linear,0.5932702533198811,0.87028
2,4,svm-poly,0.3928275633592844,0.56916
2,4,svm-rbf,0.668317361743134,0.99868
2,4,svm-sigmoid,0.4990640060540885,0.5012
2,4,svm-rbf-approx,0.4851253642217346,0.53944
2,4,LOF-minkowski,0.9917077440456995,0.86108
2,4,LOF-euclidean,0.9917077440456995,0.86108
2,4,LOF-cosine,0.9678678795923945,0.9916
2,5,svm-linear,0.5531360840479504,0.4928
2,5,svm-poly,0.4282130850788725,0.66236
2,5,svm-rbf,0.6653078624144086,0.99884
2,5,svm-sigmoid,0.5017564870259481,0.50276
2,5,svm-rbf-approx,0.4923912357138347,0.62384
2,5,LOF-minkowski,0.9918970448045757,0.91564
2,5,LOF-euclidean,0.9918970448045757,0.91564
2,5,LOF-cosine,0.9652190847127556,0.99128
2,6,svm-linear,0.008682406702208682,0.00228
2,6,svm-poly,0.45045739286069403,0.72484
2,6,svm-rbf,0.6648730721078288,0.9984
2,6,svm-sigmoid,0.501968582223106,0.50488
2,6,svm-rbf-approx,0.5042929178212874,0.44404
2,6,LOF-minkowski,0.9912989434431324,0.8932
2,6,LOF-euclidean,0.9912989434431324,0.8932
2,6,LOF-cosine,0.9681825297432687,0.98956
2,7,svm-linear,0.4853520644166524,0.45328
2,7,svm-poly,0.4196564123052337,0.63024
2,7,svm-rbf,0.66576,0.99864
2,7,svm-sigmoid,0.49818137730358875,0.49308
2,7,svm-rbf-approx,0.5095174362406126,0.5482
2,7,LOF-minkowski,0.9922491161272776,0.87564
